RSLA\BIBL\0000250528 ; http://www.kinoexpert.ru/index.asp ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000250607 ; http://www.tvmuseum.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000251085 ; http://www.kruzhevo.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000251309 ; http://vkarp.com/ ;0; HTTP/1.1 521 Origin Down;
RSLA\BIBL\0000251775 ; http://www.cakarelia.ru/ ;0; ;
RSLA\BIBL\0000251805 ; http://www.most-spb.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000251833 ; http://podstakannik.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000251890 ; http://www.novayaopera.ru/?page=veshalka ;1; HTTP/1.0 200 OK;
RSLA\BIBL\0000252540 ; http://oteatre.info/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252578 ; http://ptj.spb.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252614 ; http://ptj.spb.ru/pressa/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252707 ; http://www.kawelmacher.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252713 ; http://www.zagraevsky.com/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252714 ; http://www.vladregion.info/ ;0; HTTP/1.1 500 Internal Server Error;
RSLA\BIBL\0000252750 ; http://rao.ru/ ;1; HTTP/1.0 200 OK;
RSLA\BIBL\0000252753 ; http://www.snor.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252765 ; http://www.bogoslov.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252779 ; http://www.pv-gallery.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252796 ; http://artcenter.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252800 ; http://niitiag.ru/ ;0; HTTP/1.1 301 Moved Permanently;
RSLA\BIBL\0000252801 ; http://www.gardenhistory.ru/page.php?pageid=1 ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252802 ; http://www.architime.ru/index.htm ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252804 ; http://www.rosteatr.ru/ ;0; ;
RSLA\BIBL\0000252811 ; http://www.iconrussia.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252812 ; http://goskatalog.ru/portal/#/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252814 ; http://pravo.roskultura.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252817 ; http://lostart.ru/ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252890 ; http://www.pogarsky.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252930 ; http://www.belcanto.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252931 ; http://www.arthouse.ru/ ;0; HTTP/1.1 301 Moved Permanently;
RSLA\BIBL\0000252933 ; http://www.kinobusiness.com/ ;0; ;
RSLA\BIBL\0000252936 ; http://www.cinemasia.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000252938 ; http://cult-cinema.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000253114 ; http://www.proficinema.ru/index.php ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000253253 ; http://www.klass-teatr.ru ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000253982 ; http://www.givc.ru/projects/passportculturalregions/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000254005 ; http://www.artmaecenas.ru/ ;1; HTTP/1.0 200 OK;
RSLA\BIBL\0000254016 ; http://germanprints.ru/index.php ;1; HTTP/1.0 200 OK;
RSLA\BIBL\0000254036 ; http://novgorodmuseum.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000254038 ; http://enc.permculture.ru/start.do ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000254046 ; http://www.art-education.ru/electronic-journal ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000257059 ; http://hkcinema.ru/ ;0; ;
RSLA\BIBL\0000257081 ; http://mihhey.jimdo.com/ ;0; HTTP/1.1 403 Forbidden;
RSLA\BIBL\0000258090 ; http://timeculture.ru ;0; HTTP/1.1 301 Moved Permanently;
RSLA\BIBL\0000259090 ; http://sias.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000259534 ; http://www.vakhtangov.ru ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000259535 ; http://dsmirnof.ucoz.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000259536 ; http://krasnogorov.com ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000260436 ; http://uar.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000260447 ; http://www.architektor.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000260448 ; http://cultinfo.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000260497 ; http://www.designspb.ru/ ;1; HTTP/1.1 200 OK;
RSLA\BIBL\0000260499 ; http://progallery.org/ ;0; HTTP/1.1 302 Moved Temporarily;
RSLA\BIBL\0000260503 ; http://mincultrk.ru/ ;1; HTTP/1.1 200 Ok;
RSLA\BIBL\0000260521 ; http://monuments.karelia.ru/ ;1; HTTP/1.0 200 OK;
RSLA\BIBL\0000260671 ; http://www.prazdnik.by/content/11/182/ ;1; HTTP/1.1 200 OK;
